quizzes,solutions
203090005087500039600470200094001080006005401020030000000000802000140500730026090,213698745487512639659473218594261387376985421128734956941357862862149573735826194
000060200070800103100305940041080000080020307005709006008907024056000000000136059,893461275574892163162375948741683592689524317235719486318957624956248731427136859
540031090000000000280090076010049060700500001068002340000010508006320000072008004,547631892691287453283495176315849267724563981968172345439716528856324719172958634
000047906009325000402980100007060080650000000091800703025401009030070200700600058,583147926169325847472986135347269581658713492291854763825431679936578214714692358
008097400096040030702100050000081509370502001000000600000420000205018090000609780,538297416196845237742136958624381579379562841851974623987423165265718394413659782
004000003800147006009002705063700500950680002002005001020500900048010000507360108,274956813835147296619832745463721589951683472782495361126578934348219657597364128
001009043650830009007004628002600000000071004000020015000040096973010080800207000,281769543654832179397154628412685937538971264769423815125348796973516482846297351
703001089000074105060300000009400706600007253501060000008030000900106500200095007,743521689892674135165389472329458716684917253571263894458732961937146528216895347
000604000090007020020380056007431500800760090002000003700800060054190830603005001,578624319396517428421389756967431582835762194142958673719843265254196837683275941
870000041001070000930006020005040263040750090200001050050420900620809034003500000,872395641561274389934186725715948263346752198289631457158423976627819534493567812
090006001006710035023000008005390400000048100780501060369105000000480700400009000,597836241846712935123954678615397482932648157784521369369175824251483796478269513
001090530805000006304020081700352900980007020000000600100075300060430007000900214,671894532825713496394526781716352948983647125452189673148275369269431857537968214
000045010706802000495100038307201005080090002000060083920004650500000090103700000,832945716716832549495176238347281965681593472259467183928314657574628391163759824
004820301000030072007000500020001804370005106001090000059062003080409007000100650,594827361816534972237916548925671834378245196461398725159762483683459217742183659
900100003000600540050200806070083010109760302400000080003090000016070038200005704,964158273827639541351247896672583419189764352435921687743896125516472938298315764
504860700000900563002000009009010048120098000470300000007600005060001900003087210,594863721781924563632175489359712648126498357478356192217649835865231974943587216
930000004604009100150000607200090001070801000400357800540080000060704023000630009,937168254624579138158243697285496371376821945491357862543982716869714523712635489
620700850000060003003010204782050049501040607090300000800205000005900170260004080,624793851158462793973518264782651349531849627496327518819275436345986172267134985
509070000000081003070406021000839006027000130006000504640098000100500847003200090,519372468264981753378456921451839276827645139936127584645798312192563847783214695
004860020130090000806013050001450009300001080000009702600002507048070601590000030,954867123132594876876213954721458369369721485485639712613982547248375691597146238
060205009003610002100390050508740000320900400000000060047030810690802005000000027,764285139953614782182397654518746293326958471479123568247539816691872345835461927
300040600400890102297003005068000020030405010009100783005900007600200000024068000,381542679456897132297613845168379524732485916549126783815934267673251498924768351
031005007900028000060100020400000098000507630085003010500000200718092400009704060,231465987957328146864179325473216598192587634685943712546831279718692453329754861
001043005573200800008000096004900007810050900020307080400591060006002000090706032,961843275573269841248175396354928617817654923629317584432591768786432159195786432
310050000789100560002030940920004030058600090000810204007090820006307010040000000,314956782789142563562738941921574638458623197673819254137495826296387415845261379
040700002085000010300526000170003250000017006004809003830000401069030700050402090,946781532285394617317526984178643259593217846624859173832975461469138725751462398
000017800409620300670300400015002040000730002308000006002000050100090008006048790,253417869489625317671389425715862943964731582328954176892173654147596238536248791
701029400090300021430060070080405000250000003900070800608091050073000082000000016,761529438895347621432168579386415297257986143914273865628791354173654982549832716
000603000905081060001000075300800010108029300042017900006000200000430608090002754,784653129925781463631294875379846512168529347542317986456978231217435698893162754
003090815200054006070603000100905002604300980008070000000100004090248300701009060,463792815219854736875613429137985642654321987928476153382167594596248371741539268
069012030000946500000000000800300400007695008053007090002050640030060001045109827,569812734371946582284573169896321475427695318153487296912758643738264951645139827
569780014040000003700012006806005000031820090000064700050390000094000081000508320,569783214142659873783412956876935142431827695925164738258391467394276581617548329
006024030504103000020060809069700004100000050050906070000018700903605200012000000,796824531584193627321567849269751384137482956458936172645218793973645218812379465
070390001092600048030045007107504020060208400005060070320100009800000654000000030,478392561592617348631845297187534926963278415245961873324156789819723654756489132
002756003980003000500000062040109000100047800300000006064200300830900705009300010,412756983986423571573891462648139257125647839397582146764215398831964725259378614
601008094008203070920000030002009400400620800079015300000000065710800900300740002,631578294548293671927164538162389457453627819879415326284931765716852943395746182
000080004250000160000150098015003786074900301000008050047006900300200000006009870,791682534258394167463157298915423786874965321632718459547836912389271645126549873
700061200030090480800000009005420700010600000907030045403006810508700002002900060,749861253231597486856342179685429731314675928927138645493256817568714392172983564
000810760207400301600009050070090000400100820165203000503007600010000493008060002,354812769297456381681739254872694135439175826165283947523947618716528493948361572
750028030400000029060039100030000507921000008000060004008006042370080000005091600,759128436413675829862439175634812597921547368587963214198356742376284951245791683
000940000685000000090060712013700004062008590008500000200000860006410079700009020,127943658685271943394865712513796284462138597978524136249357861856412379731689425
800049070040050000036020010003014060074500008005806030010000309000007250900081600,821649573749153826536728914283914765674532198195876432417265389368497251952381647
054000068000100000321700090090000004007023006245098003016070500002054070000801300,754239168968145237321786495693517824187423956245698713416372589832954671579861342
410059030060000002008007400000230704903706010100045860070090006000108500209304008,412859637765413982398627451586231794943786215127945863871592346634178529259364178
179000500800520030030010460000080002205930080080004017920040100064800205000390000,179463528846529731532718469497186352215937684683254917928645173364871295751392846
620100003090007512400030000065008004100090070078203000200500830080006140004901700,627159483893467512451832967365718294142695378978243651216574839789326145534981726
307080105500300200109002070005008790710400800690023000860004007003015008004090060,327986145546371289189542673435168792712459836698723514861234957973615428254897361
980040000000203000420017860007090000000004015300570026104006309009850040278000001,983645172716283594425917863567192438892364715341578926154726389639851247278439651
640000007007300210080005900200000048071600000405039700300204009000100856000758000,643921587597386214182475963239517648871642395465839721358264179724193856916758432
085126090349050000001003700000800940000010057060097003000400238053200001074080000,785126394349758612621943785517832946932614857468597123196475238853269471274381569
004080000090206007871090002300700580020504030010039060000002050600400908437000106,264187395593246817871395642346721589928564731715839264189672453652413978437958126
025080000400250018730040090040379021500160700001000080080704602004096070000500000,125983467469257318738641295846379521592168734371425986983714652254896173617532849
027400060000900005000001830090108000050007320364590000000060182230005004400800070,527483961183976245649251837792138456851647329364592718975364182238715694416829573
039600805000370040400091000045700000003000021070809003000000506050046209028003170,739624815561378942482591367145732698893465721276819453914287536357146289628953174
006901002007380050031250460100024009205000700840003000700000210000809043050010800,586941372427386951931257468173524689265198734849763125798435216612879543354612897
600500000010002900009040732000009280200380090400701050870005600040230001050060843,627593418314872965589146732731659284265384197498721356873415629946238571152967843
480000200009804010235070060500000007862000030090561080700900008000200040140708003,481635279679824315235179864514382697862497531397561482723946158958213746146758923
013000680860049000000001307472580009601003002050000070500204000086950040700000910,913725684867349521245861397472586139691473852358192476539214768186957243724638915
000060107040100680000070352079004000500800021004030008600940000090701803302500090,258369147743152689961478352879214536536897421124635978687943215495721863312586794
900002004201600078750800030003000700800040602000105049006009020410070500020460091,968732154231654978754891236143926785895347612672185349386519427419278563527463891
080620709905000000030540600100000280070030400200900063009200805004015030607008102,481623759965187324732549618193456287576832491248971563319264875824715936657398142
405008000017000096380710000604035900001480200030009010006002050070960100090300074,465298731217543896389716542624135987951487263738629415146872359573964128892351674
000000080000930001640050720067005002130704500408006009071020806500801000200003094,713642985825937641649158723967385412132794568458216379371429856594861237286573194
000493076079201000130080000502000400061000807000032090908560001050000240400709500,285493176679251384134687952592876413361945827847132695928564731756318249413729568
675430000010007608000012000700065900309000520200800400000000050024009307063074190,675438219412957638938612745741265983389741526256893471197326854524189367863574192
800790000600000320045368019000014000002006090000900267018000003529400086460105000,831792654697541328245368719976214835352876491184953267718629543529437186463185972
170080000000006408040090631910004000860230597000008002600010284200007059035000000,176483925329156478548792631912574863864231597753968142697315284281647359435829716
300000908002030650008009000004056000500200310820970000070301806409002700060740590,347615928912837654658429173734156289596284317821973465275391846489562731163748592
900046030240009005750310800070903200095600108600050040000708400000230089012000300,981546732243879615756312894174983256395624178628157943539768421467231589812495367
000380700120004000000700046000600058539000010400013907006092005980400001002857400,654381792127964583893725146271649358539278614468513927746192835985436271312857469
860000007030065040400127000070900068010053002900000305041008730705001804000200090,862349157137865249459127683573912468618453972924786315241598736795631824386274591
070060800401030060200159003010000304602007000030802710500406000190000008060970035,379264851451738962286159473718695324642317589935842716523486197197523648864971235
000204016210000080083050900104063009009008027750120600600000030900870504070036000,597284316216397485483651972124763859369548127758129643642915738931872564875436291
083040500000079860040502000500000098000007301312004050009001000060030207254060009,983146572125379864647582913576213498498657321312894756739421685861935247254768139
001005040700200060560900201090000180603004002000083004006050078200008409074310500,321865947749231865568947231497526183683194752152783694916452378235678419874319526
802060510000071809060000040090008406007005021106390708009420300050109000700080004,872964513534271869961853247295718436387645921146392758619427385458139672723586194
000000590900184070062070300000000804085930007010000063130605000070043026008790000,741362598953184672862579341396217854485936217217458963134625789579843126628791435
000506907280070100005240000003410008100308065097000000400105800010009603730060009,341586927286973154975241386653417298124398765897652431469135872518729643732864519
820040000010002764090705300700200010000500402480030600060000007005907801009300200,827643159513892764694715328756284913931576482482139675368421597245967831179358246
003400001009010352870000096030050600000843009285607000006072008402506700000900000,523469871649718352871325496934251687167843529285697134356172948492586713718934265
091030008008905060600200430740003800000580900000006204026071000800000007305409102,491637528238945761657218439749123856162584973583796214926871345814352697375469182
000096300300804601702050004000008096019000000540070200006207008803001502400300060,184796325395824671762153984237518496619432857548679213956247138873961542421385769
010068004300507026780400001009752100805300000070040900000030200208009060640000730,512968374394517826786423591469752183825391647173846952957634218238179465641285739
000790800050004009001086374630027000082000010000003046207040090005000000400918520,346791852758234169921586374634127985582469713179853246217345698895672431463918527
000038400795000030408207001560010000004005080012090360000000970907460500001300802,126938457795146238438257691569813724374625189812794365243581976987462513651379842
300000000080270915000800072250430800600000703008156400000701090042090000071005286,327519648486273915195864372259437861614982753738156429863721594542698137971345286
470019080300500029005683010009000436001007002502300007800400000060001073020096500,476219385318574629295683714789125436631947852542368197857432961964851273123796548
300005900700349008052000600060410370009670400008003002003021800001090040600800250,384265917716349528952187634265418379139672485478953162543721896821596743697834251
900003001000640090830500026020010005400038067063900200080060040570000000002790053,946823571257641398831579426728416935495238167163957284389165742574382619612794853
036400100908600040700021300000203050002108007000590018300060079005004803000009460,236487195918635742754921386189273654562148937473596218341862579695714823827359461
100800500502400903600079004480091000005080600003000042207003160800720030009000700,194832576572416983638579214486291357725384691913657842257943168861725439349168725
004020000000030192800501360103700908069002003000100050006008400070260039905040020,314629587657834192892571364123756948569482713748193256236918475471265839985347621
000000503130800004000702010006090002057600830090040070001400280502069000370005091,728914563139856724645732918816397452457621839293548176961473285582169347374285691
514003000089760000700000390003000002040005060960024037000900004102407050050100280,514293876389761425726548391873619542241375968965824137638952714192487653457136289
500901200700800005002000894090060003604003580000708010050120970160000000020057640,586941237749832165312675894891564723674213589235798416453126978167489352928357641
280109004070000098001560000047000320100030900060740010004600000930087050000405602,283179564675324198491568273847951326152836947369742815524613789936287451718495632
020048690060200801037060450700310000200600035900005700040002900001090008500087040,125748693469253871837961452756314289284679135913825764648532917371496528592187346
003000617000908004050030000700043085002800000408006009146070058020050340090100206,983425617271968534654731892769243185512897463438516729146372958827659341395184276
200005067000710009000040800570008004003609500090300010109030605704860100038000070,241985367385716249967243851576128934413679528892354716129437685754862193638591472
000900701000546900080000030000070005468050000100300289076108502203090000005007390,624983751731546928589712634392871465468259173157364289976138542243695817815427396
002800000400057180590413700000000600005069210703002400000900060009005340017308050,172896534436257189598413726921534678845769213763182495354921867289675341617348952
036005000029048500100000007087300140000900002205160300600021400070503000008070093,836715924729648531154239867987352146361984752245167389693821475472593618518476293
051090000709406003460270500090832700000005800320060040005080210840710000070003009,251398674789456123463271598594832761617945832328167945935684217842719356176523489
040000701005300462000086000002071000038500007019608005000029100080000094073100620,346295781895317462127486359452971836638542917719638245564829173281763594973154628
009107406002000300007048950386920010045000600900050040200605000000070580000381007,859137426412569378637248951386924715745813692921756843278695134163472589594381267
300052084000030700075009020048006070000070056020190000800204063160080000290003800,319752684482631795675849321548326179931478256726195438857214963163987542294563817
020400050050073008409060000010800020030019000900042807006007103098500200073680940,327498651651273498489165732714856329832719564965342817546927183198534276273681945
090002005103860000780045309400090000000706802201000036046001270005400008000030010,694372185153869427782145369468293751539716842271584936846951273315427698927638514
800060703300210000905004806570680902006070080000005400408052000002000041610300000,841569723367218594925734816574681932296473185183925467438152679752896341619347258
070310084480060005010080720005200010040007003800000092601008050700009040900053600,276315984489762135513984726395246817142897563867531492631478259758629341924153678
070206090006039004004000301408720050030000820000500903100007680502604000709080010,371246598856139274924875361498723156635491827217568943143957682582614739769382415
580200013000940000600180290100009006090020005403608720270050084008070300000000601,589267413712943568634185297127539846896724135453618729271356984968471352345892671
020907140374002000009603008530020010000500900000008406805000000060014270740090600,628957143374182569159643728536429817487561932291738456815276394963814275742395681
000300010090024000705800600009030008240056730100200000050480092900760503080001407,426375819891624375735819624569137248248956731173248956657483192914762583382591467
800000010000203040940807065210000604006000850005709002030900000174600009020508370,852496713761253948943817265217385694396124857485769132538971426174632589629548371
256000300900100080000076002000043500001590070830700420040008035007600098010950206,256489317973125684184376952792843561461592873835761429649218735527634198318957246
260500301008370090304008500120409600900030200040600018009060005850000703000720040,267594381518376492394218576125489637986137254743652918479863125852941763631725849
500002000090750400704089060010800640406010208070900003003000516080430070260501000,531642789698753421724189365319825647456317298872964153943278516185436972267591834
009005042170000090060010000080030057003870200600509001008490700405100603000003089,839765142172348596564912378281634957953871264647529831328496715495187623716253489
009340007470000910106090850050062100860700040207004300003509000010020006900800732,589341627472658913136297854354962178861735249297184365623579481718423596945816732
036050900009003182420000000007019230900000050100842006065920004700100005000000370,836251947579463182421798563647519238982376451153842796365927814798134625214685379
074000010003048600000203850001704000950010002600035000090000105000462030038090407,874659213523148679169273854381724596957816342642935781496387125715462938238591467
010080705003060290700005086402900500000006019300504008009003000207000064085701030,916382745853467291724195386462918573578236419391574628149623857237859164685741932
792008060050007004100300000000000450800420710026705900007200030064051208089000005,792548361653197824148362597971836452835429716426715983517284639364951278289673145
020050009541200800006100007030524000000609130267001000010003085900700046003480200,728356419541297863396148527139524678854679132267831954412963785985712346673485291
600000070741500290020003000000079340300002060054100008108600502003091006002080000,635924871741568293829713654216879345387452169954136728198647532573291486462385917
006000073570309800400080010300700904124005000060200058000050030280001400900003706,896142573571369842432587619358716924124895367769234158647958231283671495915423786
001000000250040080740092300006809100180300207029400560800170020000050046030006705,691538472253741689748692351576829134184365297329417568865174923917253846432986715
503028000400900071098600030705003940060507200300010600000050004207000080009041306,573128469426935871198674532715263948964587213382419657631852794247396185859741326
050006907200040015000083020400950200082000103906308000009000040300105600070062080,854216937263749815791583426437951268582674193916328754629837541348195672175462389
107200005080015604003000080004032001700804093025009000900000028600480750070003400,167248935289315674453697182894732561716854293325169847941576328632481759578923416
198000040006710500000600200000805693009000400460300020040120870200050000050083910,198532746326714589574698231712845693839261457465379128943126875281957364657483912
018049000000000920027006045080000650009170830050060091302050000064002013000800007,518249376436517928927386145781923654649175832253468791372651489864792513195834267
007020310580013400009064002904000800010000705020805096000206008360000001000037050,647528319582913467139764582954671823816392745723845196471256938365489271298137654
301029000970500030850010002000201009000070600004080351060000070500430890208650400,341829567972564138856713942635241789189375624724986351463198275517432896298657413
620040300705100900008360000860700150209000470003000006400680005007490010100500009,621945387735128964948367521864739152219856473573214896492681735357492618186573249
070000000000803007514902600000000010280390700069014000320068590000500200900021048,873156429692843157514972683435687912281395764769214835327468591148539276956721348
800290710007300095000600000409006050100028000060010420904070000305800279600003801,836295714247381695591647382429736158153428967768519423984172536315864279672953841
400000000031005280008301705250060874060203001009070000040600012010950000800000307,475826139931745286628391745253169874764283591189574623547638912312957468896412357
030001000025076000100000904000093210006020038000408007901005076058060120072800003,839541762425976381167382954784693215596127438213458697941235876358764129672819543
010009050920080370008010460159300640073904200000050008006572090047600503000000000,614739852925486371738215469159328647873964215462157938386572194247691583591843726
000600051000070400392045600927000508085006000001000009060304700010009020049802306,874623951156978432392145687927431568485296173631587249268314795513769824749852316
004700001010063900700051068097080020603015047000020650048206300052000000000000490,864792531215863974739451268597684123623915847481327659948276315352149786176538492
007010203040070080062093105100785000005200060490000000583000006000036590000804027,957618243341572689862493175126785934735249861498361752583927416274136598619854327
000000003014620850608300207020004010590700000740058006030040090005809031000010602,972485163314627859658391247826934715591762384743158926137246598265879431489513672
070065040000800003015009020001207009009004205803000100000090036980070400402608000,278365941694821753315749628541287369769134285823956174157492836986573412432618597
002009000307020006014030980609250100050708200080001560000906000740000003000004851,862149375397825416514637982679253148451768239283491567135986724748512693926374851
030500007705039004420800000906070205008000063010602000002090040004050716300018000,631524897785139624429867531946371285278945163513682479152796348894253716367418952
020800009410070800360901205072000003901680040000213080005004091006700300040005600,527836419419572836368941275872459163931687542654213987285364791196728354743195628
200100900060007030005080042001305000004060070873000000000096580908002407700430001,287143956469257138315689742691375824524861379873924615142796583938512467756438291
027000000053008910680004000001807320040050009900040106030070200000960075005201400,127539648453628917689714532561897324342156789978342156836475291214963875795281463
005030790000208500900706031070105006506000943008000070802614000400907600100020009,625431798731298564984756231379145826516872943248369175892614357453987612167523489
003745000062000010000010703030000600001500240600901058900874005040002069510030070,183745926762398514459216783235487691891563247674921358926874135347152869518639472
000001040702009180860003500009870000400200060650010007530040700074000210208690005,395781642742569183861423579129876354487235961653914827536142798974358216218697435
070360080200500000001082407000005314007608590900020000805006049090000100003410860,579364281248571936361982457682795314137648592954123678815236749496857123723419865
900100000060000340041082000007036250009200800020050074600540910810790600705000038,973164582268975341541382796187436259459217863326859174632548917814793625795621438
001067420507020000030584010390600150000008002060003709000200600100009004450010083,981367425547921836632584917394672158715498362268153749873245691126839574459716283
050079204280000700100004630640000000700020109019560000078050000003802510000096043,356179284284635791197284635642917358735428169819563472478351926963842517521796843
083000009000097106006480520090150070010240800005003601200000000009560400704008350,183625749542397186976481523398156274617249835425873691251734968839562417764918352
740015000903040001002076400000003009010507800009061520470000063005000210300689050,746915382953248671182376495567823149214597836839461527478152963695734218321689754
010620000900000204640008730006003400507069008000250090001030057370010900820005013,713624589958371264642598731296183475537469128184257396461932857375816942829745613
200700140800000072706400800001050000087043500005860039904006003030000068060020410,253798146849615372716432895391257684687943521425861739974186253132574968568329417
001043206076000900200009050700060010104020098000004600058010703030085040907030002,591843276876251934243679851729368415164527398385194627458912763632785149917436582
600003008000149002010008500000081025004000109280070600005000204349060070708300900,692753418857149362413628597936481725574236189281975643165897234349562871728314956
064001070000008032010975008100820940420300000009000050052796010000000000908400620,864231579597648132213975468135827946426359781789164253352796814641582397978413625
000006000506910070390840002100683040020007108050004937980000000064309700001000504,812736459546912873397845612179683245423597168658124937985471326264359781731268594
000500008709010040030046209900200800004070526501008097060009305800000170200307000,642593718759812643138746259976254831384971526521638497467129385893465172215387964
100000086080420509030670040071240305020905000900000001650089204000054000003000800,142593786786421539539678142871246395324915678965837421657389214218754963493162857
260509410048123007000000900090000046510062000073010008051030090000670035300400020,267589413948123567135746982892357146514862379673914258751238694429671835386495721
009540070000032000148000005000614000705000081020008639650309200302070540010000060,239541876576832194148967325983614752765293481421758639654389217392176548817425963
007009050320040001010760900064081500700004100980600230070910800800030000092005460,647129358329548671518763942264381597735294186981657234473916825856432719192875463
650107400080090060000300508030800002700945006400060015300010200907600300002709001,659187423283594167174326598536871942721945836498263715365418279917652384842739651
260500970007003240080000015600050030054020800908010006300600050010200409020490061,261548973597163248483972615672859134154326897938714526349681752716235489825497361
019038007008000200063700010900010400840027006005009030006402305070600008000005094,419238567758961243263754819937516482841327956625849731196482375574693128382175694
705480000409002700800005130043020000290800040070390610000006905000000060320059087,715483296439612758862975134643521879291867543578394612184736925957248361326159487
910086403004070010050300780000260000293000000780004950020000506000010040065800390,917586423834972615652341789541269837293758164786134952128493576379615248465827391
074090200500006018000023000037068050906000074250940830002000001890000600103005740,374891265529476318618523497437168952986352174251947836742639581895714623163285749
060200500400000020200068903608700105070090040020053008043009070000024000890571006,369217584481935627257468913638742195175896342924153768543689271716324859892571436
506890300017006580000000000020007000650900041004361009470000025000100860308200070,546892317917436582832715496129547638653928741784361259471683925295174863368259174
150006802200000394084000000000092000060003049700850100530000010009400507020710060,153946872276581394984327651341692785865173249792854136537269418619438527428715963
000300004028070100005060809000030060869210000370900502710090008200700406000524003,197358624628479135435162879542837961869215347371946582714693258253781496986524713
003002090714060020000804600630410008080509002905008073006001540500300017020000000,863152794714963825259874631632417958187539462945628173376281549598346217421795386
400372008005008920806400103004000002302185000609040700000000607107530080000091340,491372568735618924826459173514967832372185496689243751953824617147536289268791345
800000001007019000002307400010020060070405203005006800409200700206003094050080006,893642571547819632162357489314728965678495213925136847439261758286573194751984326
000801000790500630501030040802010000000206009400050170070980010006000203034000580,643891725798524631521637948852719364317246859469358172275983416186475293934162587
080020950600030004710005260000006000002001039006873410030908100900014025400000007,384627951625139784719485263143296578872541639596873412237958146968714325451362897
090670005568009400201008030000510000086042001000007349810030670730090020025004000,493671285568329417271458936947513862386942751152867349819235674734196528625784193
090008000735060080200034109001000402008600070040100360063470005050010900007805020,194258736735961284286734159671583492328649571549127368963472815852316947417895623
400210005036400800570083090000039410060000000905000720300120050002070038709008600,498217365236495871571683294827539416163742589945861723384126957652974138719358642
000590600006004001730200050500700060001089370008103002000078090420006080060300400,182597634956834721734261859593742168241689375678153942315478296427916583869325417
370000902100805006040070350000500030034087010829040000050100000906000004010064075,375416982192835746648279351761592438534687219829341567457128693986753124213964875
030920007010045208406000009370009001508306704000800500000100400002080006700060315,835921647917645238426738159374259861598316724261874593653197482142583976789462315
704000069000050123000009400000300000200405000019008605006907010081620570470081030,754132869698754123123869457845316792267495381319278645536947218981623574472581936
000107530000400009190200086000000800908300250030064901610000000280009047754002100,846197532325486719197253486471925863968371254532864971619748325283519647754632198
200003008090024070003009610500000100071000024028600030104078900050900700087530006,215763498896124375743859612539482167671395824428617539164278953352946781987531246
304070902080500000065004000000487300473100600100090000000030069500200081729060004,314678952987523146265914873692487315473152698158396427841735269536249781729861534
002709536000086409004100000010920078309050002000001060800000090461807000037510000,182749536753286419694135827516924378379658142248371965825463791461897253937512684
900008300401060259072000008094000700800710042600005800503970001000030006060450930,956128374481367259372594168294683715835719642617245893523976481749831526168452937
700000890020070304685030000040810007302950006090206501000020153000700040061090200,734162895129578364685439712546813927312957486897246531978624153253781649461395278
300010640400200105007005098000090000510063700000007026008009400600830070204050063,325918647489276135167345298876592314512463789943187526738629451651834972294751863
000600003075400100690037000010008035500004902260700000002000310700209048008005206,824691753375482169691537824417928635583164972269753481952846317736219548148375296
407203000000040507680000010200090035375006800810004600930080700006700001020500309,457213968193648527682975413264897135375126894819354672931482756546739281728561349
705060001100800000003000420090530080230006570000980006002310050601074008004009207,725463891149825763863791425496537182238146579517982346972318654651274938384659217
006010003100402070009030080000208000503097004400005817208900300051000008960070520,826719453135482679749536182617248935583197264492365817278951346351624798964873521
700000002100029056000058190080070004503001009076940300004000680620800007090003401,759136842138429756462758193981372564543681279276945318314297685625814937897563421
006000103030070590400300020800503200001804006000090010703209400010007058540068070,276945183138672594495381627867513249951824736324796815783259461612437958549168372
700910050025007009000003600000051030400280105090004270002000003008076401073800096,764918352325467819819523647286751934437289165591634278642195783958376421173842596
509608100000094000062000034300800009076000012081009053030900000400520070020047608,549638127713294586862175934354812769976453812281769453637981245498526371125347698
040000587701006900009043020070100200960000005500098063080000041600270800000034000,346912587721586934859743126473165298968327415512498763287659341634271859195834672
308070900020800060470002003530000740000790000062410805050009004000508309001040020,318674952925831467476952183539286741184795236762413895853129674247568319691347528
780509001200000305040000067034005000020061830009300702960057028100400000000023509,786539241291746385345812967834275196527961834619384752963157428152498673478623519
000080075045000039000407020000609007002041003380020046890100050051300902067004000,126983475745216839938457621514639287672841593389725146893162754451378962267594318
064900000300080000090532040500700900030008106000090028450100060002006375087200001,264917583375684219891532647528761934739428156146395728453179862912846375687253491
